k,score_mode,threshold_source_mode,gaussian_sigma_tubelets,threshold_percentile,threshold_key,threshold_value,normal_test_tubelets,false_alarm_tubelets_before_persistence,false_alarm_rate_percent_before_persistence,max_false_alarm_streak_before_persistence,persistence_window,persistence_required_hits,min_event_gap_sec,false_alarm_events_after_persistence
1,raw,raw,,95.0,p95,0.11088640242815018,5770,167,2.8942807625649913,10,5,3,5.0,34
1,raw,raw,,97.5,p97_5,0.12211225181818008,5770,87,1.5077989601386481,4,5,3,5.0,14
1,raw,raw,,99.0,p99,0.13822686672210693,5770,38,0.658578856152513,2,5,3,5.0,3
1,raw,raw,,99.5,p99_5,0.15024296939373016,5770,17,0.29462738301559793,2,5,3,5.0,1
1,raw,raw,,99.7,p99_7,0.1562396138906479,5770,8,0.1386481802426343,1,5,3,5.0,0
1,raw,raw,,99.9,p99_9,0.16473491489887238,5770,4,0.06932409012131716,1,5,3,5.0,0
1,gaussian_sigma_1,gaussian_sigma_1,1.0,95.0,p95,0.10150090944240453,5770,228,3.951473136915078,29,5,3,5.0,62
1,gaussian_sigma_1,gaussian_sigma_1,1.0,97.5,p97_5,0.11213207718269803,5770,121,2.097053726169844,13,5,3,5.0,38
1,gaussian_sigma_1,gaussian_sigma_1,1.0,99.0,p99,0.1220543276420907,5770,52,0.901213171577123,5,5,3,5.0,13
1,gaussian_sigma_1,gaussian_sigma_1,1.0,99.5,p99_5,0.12725111917303236,5770,31,0.537261698440208,5,5,3,5.0,9
1,gaussian_sigma_1,gaussian_sigma_1,1.0,99.7,p99_7,0.1324033252684063,5770,21,0.36395147313691506,3,5,3,5.0,6
1,gaussian_sigma_1,gaussian_sigma_1,1.0,99.9,p99_9,0.13968394187232303,5770,7,0.12131715771230503,1,5,3,5.0,0
1,gaussian_sigma_2,gaussian_sigma_2,2.0,95.0,p95,0.09821959298822278,5770,232,4.020797227036395,45,5,3,5.0,72
1,gaussian_sigma_2,gaussian_sigma_2,2.0,97.5,p97_5,0.10767764837049791,5770,139,2.4090121317157713,27,5,3,5.0,38
1,gaussian_sigma_2,gaussian_sigma_2,2.0,99.0,p99,0.11669759375712557,5770,80,1.3864818024263432,14,5,3,5.0,24
1,gaussian_sigma_2,gaussian_sigma_2,2.0,99.5,p99_5,0.12133572556038741,5770,48,0.8318890814558059,9,5,3,5.0,11
1,gaussian_sigma_2,gaussian_sigma_2,2.0,99.7,p99_7,0.1269203679842909,5770,22,0.38128249566724437,6,5,3,5.0,4
1,gaussian_sigma_2,gaussian_sigma_2,2.0,99.9,p99_9,0.13247596588242921,5770,12,0.20797227036395147,2,5,3,5.0,2
1,gaussian_sigma_3,gaussian_sigma_3,3.0,95.0,p95,0.09622387432164842,5770,251,4.350086655112651,47,5,3,5.0,91
1,gaussian_sigma_3,gaussian_sigma_3,3.0,97.5,p97_5,0.10600173963618462,5770,149,2.582322357019064,32,5,3,5.0,41
1,gaussian_sigma_3,gaussian_sigma_3,3.0,99.0,p99,0.11425690059335286,5770,97,1.681109185441941,25,5,3,5.0,28
1,gaussian_sigma_3,gaussian_sigma_3,3.0,99.5,p99_5,0.11911932389335503,5770,55,0.9532062391681109,20,5,3,5.0,14
1,gaussian_sigma_3,gaussian_sigma_3,3.0,99.7,p99_7,0.12324647296700518,5770,32,0.5545927209705372,10,5,3,5.0,6
1,gaussian_sigma_3,gaussian_sigma_3,3.0,99.9,p99_9,0.12925142720303803,5770,14,0.24263431542461006,5,5,3,5.0,2
3,raw,raw,,95.0,p95,0.11577531695365906,5770,161,2.7902946273830156,9,5,3,5.0,29
3,raw,raw,,97.5,p97_5,0.12839914858341217,5770,82,1.4211438474870017,7,5,3,5.0,11
3,raw,raw,,99.0,p99,0.14426827430725098,5770,36,0.6239168110918544,2,5,3,5.0,2
3,raw,raw,,99.5,p99_5,0.15622875094413757,5770,15,0.25996533795493937,2,5,3,5.0,1
3,raw,raw,,99.7,p99_7,0.16101986169815063,5770,9,0.1559792027729636,1,5,3,5.0,0
3,raw,raw,,99.9,p99_9,0.16749735176563263,5770,4,0.06932409012131716,1,5,3,5.0,0
3,gaussian_sigma_1,gaussian_sigma_1,1.0,95.0,p95,0.10639355897647518,5770,228,3.951473136915078,31,5,3,5.0,60
3,gaussian_sigma_1,gaussian_sigma_1,1.0,97.5,p97_5,0.11698434864013631,5770,117,2.027729636048527,10,5,3,5.0,37
3,gaussian_sigma_1,gaussian_sigma_1,1.0,99.0,p99,0.12838935813878208,5770,41,0.7105719237435009,6,5,3,5.0,10
3,gaussian_sigma_1,gaussian_sigma_1,1.0,99.5,p99_5,0.13293724511642713,5770,30,0.5199306759098787,5,5,3,5.0,8
3,gaussian_sigma_1,gaussian_sigma_1,1.0,99.7,p99_7,0.13780810430649526,5770,18,0.3119584055459272,3,5,3,5.0,3
3,gaussian_sigma_1,gaussian_sigma_1,1.0,99.9,p99_9,0.14584890397416075,5770,5,0.08665511265164645,1,5,3,5.0,0
3,gaussian_sigma_2,gaussian_sigma_2,2.0,95.0,p95,0.10255085792721887,5770,242,4.194107452339688,48,5,3,5.0,78
3,gaussian_sigma_2,gaussian_sigma_2,2.0,97.5,p97_5,0.11324238198207864,5770,134,2.3223570190641247,29,5,3,5.0,33
3,gaussian_sigma_2,gaussian_sigma_2,2.0,99.0,p99,0.12343650241320603,5770,59,1.022530329289428,10,5,3,5.0,17
3,gaussian_sigma_2,gaussian_sigma_2,2.0,99.5,p99_5,0.1297495542327288,5770,27,0.4679376083188908,6,5,3,5.0,5
3,gaussian_sigma_2,gaussian_sigma_2,2.0,99.7,p99_7,0.13064446538075233,5770,26,0.4506065857885615,6,5,3,5.0,5
3,gaussian_sigma_2,gaussian_sigma_2,2.0,99.9,p99_9,0.13879759826975038,5770,10,0.1733102253032929,4,5,3,5.0,2
3,gaussian_sigma_3,gaussian_sigma_3,3.0,95.0,p95,0.10099211420509432,5770,248,4.298093587521664,49,5,3,5.0,81
3,gaussian_sigma_3,gaussian_sigma_3,3.0,97.5,p97_5,0.11150703690887542,5770,141,2.4436741767764296,30,5,3,5.0,38
3,gaussian_sigma_3,gaussian_sigma_3,3.0,99.0,p99,0.1213243675357918,5770,67,1.1611785095320624,21,5,3,5.0,17
3,gaussian_sigma_3,gaussian_sigma_3,3.0,99.5,p99_5,0.12710268722448048,5770,31,0.537261698440208,6,5,3,5.0,5
3,gaussian_sigma_3,gaussian_sigma_3,3.0,99.7,p99_7,0.1293119643036188,5770,24,0.41594454072790293,6,5,3,5.0,5
3,gaussian_sigma_3,gaussian_sigma_3,3.0,99.9,p99_9,0.13460099413237123,5770,13,0.22530329289428075,5,5,3,5.0,2
5,raw,raw,,95.0,p95,0.11937740445137024,5770,164,2.8422876949740035,9,5,3,5.0,35
5,raw,raw,,97.5,p97_5,0.1349485218524933,5770,69,1.1958405545927209,7,5,3,5.0,9
5,raw,raw,,99.0,p99,0.15143916010856628,5770,28,0.4852686308492201,2,5,3,5.0,2
5,raw,raw,,99.5,p99_5,0.16177931427955627,5770,13,0.22530329289428075,1,5,3,5.0,1
5,raw,raw,,99.7,p99_7,0.16733770072460175,5770,5,0.08665511265164645,1,5,3,5.0,0
5,raw,raw,,99.9,p99_9,0.17094500362873077,5770,4,0.06932409012131716,1,5,3,5.0,0
5,gaussian_sigma_1,gaussian_sigma_1,1.0,95.0,p95,0.1099132120144354,5770,226,3.9168110918544192,32,5,3,5.0,62
5,gaussian_sigma_1,gaussian_sigma_1,1.0,97.5,p97_5,0.12110362982361336,5770,114,1.975736568457539,10,5,3,5.0,34
5,gaussian_sigma_1,gaussian_sigma_1,1.0,99.0,p99,0.1361620274864472,5770,32,0.5545927209705372,6,5,3,5.0,9
5,gaussian_sigma_1,gaussian_sigma_1,1.0,99.5,p99_5,0.14115845776681163,5770,16,0.2772963604852686,5,5,3,5.0,2
5,gaussian_sigma_1,gaussian_sigma_1,1.0,99.7,p99_7,0.1425183388566061,5770,15,0.25996533795493937,3,5,3,5.0,1
5,gaussian_sigma_1,gaussian_sigma_1,1.0,99.9,p99_9,0.1502346742613844,5770,6,0.10398613518197573,2,5,3,5.0,0
5,gaussian_sigma_2,gaussian_sigma_2,2.0,95.0,p95,0.10653559425727421,5770,236,4.090121317157712,48,5,3,5.0,75
5,gaussian_sigma_2,gaussian_sigma_2,2.0,97.5,p97_5,0.11676865529055269,5770,134,2.3223570190641247,29,5,3,5.0,35
5,gaussian_sigma_2,gaussian_sigma_2,2.0,99.0,p99,0.12827673479900112,5770,43,0.7452339688041595,7,5,3,5.0,10
5,gaussian_sigma_2,gaussian_sigma_2,2.0,99.5,p99_5,0.13715376859580033,5770,18,0.3119584055459272,5,5,3,5.0,4
5,gaussian_sigma_2,gaussian_sigma_2,2.0,99.7,p99_7,0.14042321942697136,5770,12,0.20797227036395147,5,5,3,5.0,3
5,gaussian_sigma_2,gaussian_sigma_2,2.0,99.9,p99_9,0.14226507056405377,5770,11,0.19064124783362218,5,5,3,5.0,3
5,gaussian_sigma_3,gaussian_sigma_3,3.0,95.0,p95,0.10443420583280154,5770,253,4.3847487001733105,50,5,3,5.0,84
5,gaussian_sigma_3,gaussian_sigma_3,3.0,97.5,p97_5,0.11580468265358004,5770,132,2.287694974003466,30,5,3,5.0,34
5,gaussian_sigma_3,gaussian_sigma_3,3.0,99.0,p99,0.12567089810047213,5770,59,1.022530329289428,21,5,3,5.0,16
5,gaussian_sigma_3,gaussian_sigma_3,3.0,99.5,p99_5,0.13317112583483043,5770,24,0.41594454072790293,6,5,3,5.0,5
5,gaussian_sigma_3,gaussian_sigma_3,3.0,99.7,p99_7,0.13934033895338177,5770,12,0.20797227036395147,5,5,3,5.0,2
5,gaussian_sigma_3,gaussian_sigma_3,3.0,99.9,p99_9,0.1406017817891354,5770,10,0.1733102253032929,5,5,3,5.0,2
10,raw,raw,,95.0,p95,0.1245126724243164,5770,165,2.8596187175043326,9,5,3,5.0,38
10,raw,raw,,97.5,p97_5,0.14441515505313873,5770,64,1.1091854419410745,7,5,3,5.0,9
10,raw,raw,,99.0,p99,0.1631719172000885,5770,20,0.3466204506065858,2,5,3,5.0,2
10,raw,raw,,99.5,p99_5,0.17284995317459106,5770,8,0.1386481802426343,1,5,3,5.0,0
10,raw,raw,,99.7,p99_7,0.1773177832365036,5770,3,0.05199306759098787,1,5,3,5.0,0
10,raw,raw,,99.9,p99_9,0.18512989580631256,5770,3,0.05199306759098787,1,5,3,5.0,0
10,gaussian_sigma_1,gaussian_sigma_1,1.0,95.0,p95,0.11618453279720718,5770,212,3.6741767764298094,26,5,3,5.0,64
10,gaussian_sigma_1,gaussian_sigma_1,1.0,97.5,p97_5,0.12760493497737,5770,96,1.6637781629116117,9,5,3,5.0,28
10,gaussian_sigma_1,gaussian_sigma_1,1.0,99.0,p99,0.14609888131028523,5770,21,0.36395147313691506,6,5,3,5.0,4
10,gaussian_sigma_1,gaussian_sigma_1,1.0,99.5,p99_5,0.15358598424430156,5770,6,0.10398613518197573,2,5,3,5.0,0
10,gaussian_sigma_1,gaussian_sigma_1,1.0,99.7,p99_7,0.1559325030591793,5770,5,0.08665511265164645,2,5,3,5.0,0
10,gaussian_sigma_1,gaussian_sigma_1,1.0,99.9,p99_9,0.16195337715250885,5770,3,0.05199306759098787,1,5,3,5.0,0
10,gaussian_sigma_2,gaussian_sigma_2,2.0,95.0,p95,0.11217280952638074,5770,241,4.176776429809359,48,5,3,5.0,79
10,gaussian_sigma_2,gaussian_sigma_2,2.0,97.5,p97_5,0.12332730260171745,5770,128,2.218370883882149,24,5,3,5.0,36
10,gaussian_sigma_2,gaussian_sigma_2,2.0,99.0,p99,0.1374417290443047,5770,33,0.5719237435008665,7,5,3,5.0,6
10,gaussian_sigma_2,gaussian_sigma_2,2.0,99.5,p99_5,0.1461859726035543,5770,12,0.20797227036395147,5,5,3,5.0,3
10,gaussian_sigma_2,gaussian_sigma_2,2.0,99.7,p99_7,0.1528189039251937,5770,3,0.05199306759098787,1,5,3,5.0,0
10,gaussian_sigma_2,gaussian_sigma_2,2.0,99.9,p99_9,0.15665629677362472,5770,2,0.03466204506065858,1,5,3,5.0,0
10,gaussian_sigma_3,gaussian_sigma_3,3.0,95.0,p95,0.1108030874372964,5770,237,4.107452339688042,49,5,3,5.0,79
10,gaussian_sigma_3,gaussian_sigma_3,3.0,97.5,p97_5,0.1226564572982671,5770,125,2.166377816291161,30,5,3,5.0,33
10,gaussian_sigma_3,gaussian_sigma_3,3.0,99.0,p99,0.13386186595579128,5770,39,0.6759098786828422,12,5,3,5.0,7
10,gaussian_sigma_3,gaussian_sigma_3,3.0,99.5,p99_5,0.1412248006457501,5770,16,0.2772963604852686,6,5,3,5.0,3
10,gaussian_sigma_3,gaussian_sigma_3,3.0,99.7,p99_7,0.14704114081133846,5770,8,0.1386481802426343,4,5,3,5.0,2
10,gaussian_sigma_3,gaussian_sigma_3,3.0,99.9,p99_9,0.15610767431119082,5770,1,0.01733102253032929,1,5,3,5.0,0
20,raw,raw,,95.0,p95,0.131768137216568,5770,160,2.7729636048526864,13,5,3,5.0,31
20,raw,raw,,97.5,p97_5,0.15640604496002197,5770,50,0.8665511265164645,5,5,3,5.0,7
20,raw,raw,,99.0,p99,0.17504851520061493,5770,14,0.24263431542461006,1,5,3,5.0,1
20,raw,raw,,99.5,p99_5,0.18207117915153503,5770,6,0.10398613518197573,1,5,3,5.0,0
20,raw,raw,,99.7,p99_7,0.19173087179660797,5770,5,0.08665511265164645,1,5,3,5.0,0
20,raw,raw,,99.9,p99_9,0.20470893383026123,5770,3,0.05199306759098787,1,5,3,5.0,0
20,gaussian_sigma_1,gaussian_sigma_1,1.0,95.0,p95,0.12307050213058769,5770,214,3.7088388214904677,22,5,3,5.0,67
20,gaussian_sigma_1,gaussian_sigma_1,1.0,97.5,p97_5,0.13559412710125837,5770,82,1.4211438474870017,8,5,3,5.0,21
20,gaussian_sigma_1,gaussian_sigma_1,1.0,99.0,p99,0.15854408623577668,5770,13,0.22530329289428075,4,5,3,5.0,2
20,gaussian_sigma_1,gaussian_sigma_1,1.0,99.5,p99_5,0.1678385797363348,5770,6,0.10398613518197573,3,5,3,5.0,1
20,gaussian_sigma_1,gaussian_sigma_1,1.0,99.7,p99_7,0.17091589874371696,5770,6,0.10398613518197573,3,5,3,5.0,1
20,gaussian_sigma_1,gaussian_sigma_1,1.0,99.9,p99_9,0.1761626417952575,5770,2,0.03466204506065858,1,5,3,5.0,0
20,gaussian_sigma_2,gaussian_sigma_2,2.0,95.0,p95,0.11887047884273175,5770,243,4.211438474870017,48,5,3,5.0,83
20,gaussian_sigma_2,gaussian_sigma_2,2.0,97.5,p97_5,0.13155957892194878,5770,107,1.8544194107452339,20,5,3,5.0,37
20,gaussian_sigma_2,gaussian_sigma_2,2.0,99.0,p99,0.14751037896784353,5770,22,0.38128249566724437,6,5,3,5.0,4
20,gaussian_sigma_2,gaussian_sigma_2,2.0,99.5,p99_5,0.15820080202048037,5770,7,0.12131715771230503,3,5,3,5.0,1
20,gaussian_sigma_2,gaussian_sigma_2,2.0,99.7,p99_7,0.16751023085203873,5770,3,0.05199306759098787,1,5,3,5.0,0
20,gaussian_sigma_2,gaussian_sigma_2,2.0,99.9,p99_9,0.17222902371159834,5770,1,0.01733102253032929,1,5,3,5.0,0
20,gaussian_sigma_3,gaussian_sigma_3,3.0,95.0,p95,0.11736699106589156,5770,245,4.246100519930676,50,5,3,5.0,80
20,gaussian_sigma_3,gaussian_sigma_3,3.0,97.5,p97_5,0.13048771687462568,5770,109,1.8890814558058926,23,5,3,5.0,32
20,gaussian_sigma_3,gaussian_sigma_3,3.0,99.0,p99,0.14453440715814664,5770,25,0.43327556325823224,7,5,3,5.0,4
20,gaussian_sigma_3,gaussian_sigma_3,3.0,99.5,p99_5,0.15121572648939455,5770,13,0.22530329289428075,5,5,3,5.0,2
20,gaussian_sigma_3,gaussian_sigma_3,3.0,99.7,p99_7,0.1601177909764957,5770,2,0.03466204506065858,1,5,3,5.0,0
20,gaussian_sigma_3,gaussian_sigma_3,3.0,99.9,p99_9,0.17177432959460917,5770,1,0.01733102253032929,1,5,3,5.0,0
